id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	518	533	863	61	36	345	320	15
2	0	355	478	1650	443	94	1295	946	123
7	0	1540	1916	2061	145	0	521	376	376
6	0	1431	1719	2253	93	23	822	752	288
1	0	0	0	2391	788	409	2391	2012	0
8	0	1703	2061	3462	108	60	1759	1711	358
10	0	1906	2253	4346	560	146	2440	2026	347
9	0	1831	2218	4555	456	155	2724	2423	387
15	0	3528	4010	5455	389	115	1927	1653	482
5	0	1221	1650	5635	436	296	4414	4274	429
13	0	2878	3365	5967	284	381	3089	3186	487
4	0	797	866	6230	983	644	5433	5094	69
16	0	3672	4172	6323	315	173	2651	2509	500
11	0	1908	2302	6465	409	613	4557	4761	394
12	0	2267	2612	7062	512	948	4795	5231	345
14	0	3356	3660	7210	620	984	3854	4218	304
0	0	0	0	7210	608	0	7210	6602	0
