id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	2	518	518	615	61	36	97	72	0
6	4	1431	1431	1627	93	23	196	126	0
7	6	1540	1540	1728	145	0	188	43	0
8	3	1703	1703	2025	108	60	322	274	0
13	9	2878	2878	4257	284	381	1379	1476	0
16	11	3672	3672	4402	315	173	730	588	0
11	13	1908	1908	4692	409	613	2784	2988	0
5	14	1221	1221	4944	436	296	3723	3583	0
15	14	3528	3528	5065	389	115	1537	1263	0
2	16	355	355	5323	443	94	4968	4619	0
9	16	1831	1831	5391	456	155	3560	3259	0
12	18	2267	2267	5915	512	948	3648	4084	0
10	23	1906	1906	6007	560	146	4101	3687	0
1	30	0	0	6558	788	409	6558	6179	0
14	24	3356	3356	6597	620	984	3241	3605	0
4	38	797	797	6968	983	644	6171	5832	0
0	0	0	0	6968	366	0	6968	6602	0
