id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	518	533	906	61	36	388	363	15
2	0	355	478	1213	443	94	858	509	123
8	0	1703	1761	2139	108	60	436	388	58
6	0	1431	2257	2433	93	23	1002	932	826
1	0	0	0	2704	788	409	2704	2325	0
5	0	1221	1361	3266	436	296	2045	1905	140
11	0	1908	1953	3666	409	613	1758	1962	45
4	0	797	833	4055	983	644	3258	2919	36
13	0	2878	2888	4305	284	381	1427	1524	10
7	0	1540	4312	4457	145	0	2917	2772	2772
16	0	3672	3731	4550	315	173	878	736	59
15	0	3528	3771	5222	389	115	1694	1420	243
10	0	1906	1966	6279	560	146	4373	3959	60
9	0	1831	1857	6504	456	155	4673	4372	26
14	0	3356	3404	7124	620	984	3768	4132	48
12	0	2267	4550	7175	512	948	4908	5344	2283
0	0	0	0	7175	573	0	7175	6602	0
