id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	518	544	714	61	36	196	171	26
2	0	355	369	1482	443	94	1127	778	14
6	0	1431	1482	1972	93	23	541	471	51
7	0	1540	1602	2387	145	0	847	702	62
8	0	1703	1802	2703	108	60	1000	952	99
1	0	0	0	3307	788	409	3307	2928	0
5	0	1221	1266	4629	436	296	3408	3268	45
9	0	1831	1901	5308	456	155	3477	3176	70
13	0	2878	2998	5702	284	381	2824	2921	120
11	0	1908	2032	5839	409	613	3931	4135	124
10	0	1906	2012	6026	560	146	4120	3706	106
15	0	3528	3579	6200	389	115	2672	2398	51
16	0	3672	3810	6222	315	173	2550	2408	138
4	0	797	809	6687	983	644	5890	5551	12
12	0	2267	2362	6749	512	948	4482	4918	95
14	0	3356	3431	7332	620	984	3976	4340	75
0	0	0	0	7332	730	0	7332	6602	0
