id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	518	533	828	61	36	310	285	15
7	0	1540	1622	1767	145	0	227	82	82
8	0	1703	1767	2811	108	60	1108	1060	64
6	0	1431	1530	2812	93	23	1381	1311	99
2	0	355	478	3163	443	94	2808	2459	123
5	0	1221	1461	3393	436	296	2172	2032	240
11	0	1908	1979	4670	409	613	2762	2966	71
13	0	2878	2905	4693	284	381	1815	1912	27
16	0	3672	3676	4941	315	173	1269	1127	4
15	0	3528	3555	5525	389	115	1997	1723	27
10	0	1906	1930	5914	560	146	4008	3594	24
12	0	2267	2326	6196	512	948	3929	4365	59
1	0	0	0	6424	788	409	6424	6045	0
14	0	3356	3393	6584	620	984	3228	3592	37
9	0	1831	1896	6762	456	155	4931	4630	65
4	0	797	828	6912	983	644	6115	5776	31
0	0	0	0	6912	310	0	6912	6602	0
